raden putra sangat kejut lihat ayam jago sayang seok kabur dari medan tarung,terkejut
pada suatu hari istri pangeran sarif rasa takut sekali tinggal sendiri di rumah sebab saat itu dia sedang hamil muda,takut
jafar sidik peranjat ketika pulang dari iadang dan dapat empat anak lelaki menang,terkejut
tigran pun pulang dengan sedih,sedih
namun mata titik air mata tanda bahwa ia amat sesal,sedih
anjing gunung itu perhati tingkah laku domba kecil itu dengan sangat marah,marah
dia kecewa karena nyata bukan gadis impi yang akan nikah,sedih
pasang kasih itu tak henti ucap syukur pada jubata dan dua hidup bahagia sampai masa tua mereka,senang
ia peluk dan cium putri puas sambil menang,sedih
dari sela jari putri yang masih tutup muka alir darah segar dengan panik mereka usaha henti,takut
ia menang karena lapar dan tidak dapat air susu baik dari air susu maupun air susu unta yang bawa oleh suami sehingga kami tidak dapat muas dahaga,sedih
betapa sedih hati ikot rinding dengar cerita itu,sedih
baginda jadi murka dengar jelas tabib istana ia segera perintah patih untuk buang permaisuri ke hutan dan bunuh,marah
burung itu sangat senang cari makan di sungai yang jernih itu karena ikan sangat limpah sana sang kuntul tidak pernah pergi ke sungai lain untuk cari makan karena makan di sungai itu sangat limpah,senang
dua rasa iri dengan anjing yang milik sang raja,marah
bagai jenis burung dan serangga hidup dengan riang,senang
sekarang sang raja dengan marah kata kepada putri,marah
ibu sangat luka dengar ucap putri,sedih
amat besar murka prabu kertamarta ketika tahu cerita yang benar,marah
apa yang kau laku tiap hari hanya tari kini telah kau sadar akan butuh hidup kau minta kepada kami enak sekali hidup itu kata sang semut sambil pasang wajah marah,marah
siapa di antara kalian yang akan meni dengan pangeran itu akan buat ibu sangat bahagia keluarga kita akan jadi pandang ujar ibu tiri tengah dua anak,senang
serigala sangat senang dapat mangsa yang lezat,senang
semua binatang yang ada di sana hanya diam mereka sangat takut tidak ada satu orang pun yang berani jawab,takut
ketika ia hendak keluar kasim lupa mantra untuk buka pintu ia teriak apa saja dan mulai takut,takut
kalau begitu sebentar lagi akan ada pesta besar donk asyiiiiik seru dayang,senang
dengar hasut dari selir nya raden putra sangat murka,marah
wanita itu marah mereka ubah jadi babi hutan dan serang pak raje,marah
sejak saat itu timun mas dapat hidup tenang sama orang tua mereka dapat hidup bahagia tanpa takut lagi,senang
aku akan laku itu lain kali bu jawab jack takut,takut
namun batu batangkup sangat marah kalian anak yang tidak tahu di untung kalian hanya anak nakal yang bisa cuma main dan main sekarang sesal kalian tidak aka nada guna kata batu batangkup dengan nada tinggi,marah
dewa indra pun marah kau harus lepas dulu roh dari badan belum pergi ke surga kata dewa indra,marah
